Generator,Detector,Accuracy,Precision,Recall,F1_Score,Specificity,Avg_Confidence,TP,TN,FP,FN,Total_Contracts,Same_Model
gpt-4.1,gpt-4.1,0.75,1.0,0.5,0.6666666666666666,1.0,0.9412500000000001,2,4,0,2,8,True
gpt-4o,gpt-4.1,0.375,0.0,0.0,0.0,0.75,0.475,0,3,1,4,8,False
o3,gpt-4.1,0.5,0.0,0.0,0.0,1.0,0.25,0,4,0,4,8,False
o3-mini,gpt-4.1,0.875,1.0,0.75,0.8571428571428571,1.0,0.8999999999999999,3,4,0,1,8,False
gpt-4.1,gpt-4o,0.625,0.6666666666666666,0.5,0.5714285714285715,0.75,0.9187500000000001,2,3,1,2,8,False
gpt-4o,gpt-4o,0.0,0.0,0.0,0.0,0.0,0.44375,0,0,4,4,8,True
o3,gpt-4o,0.5,0.0,0.0,0.0,1.0,0.35,0,4,0,4,8,False
o3-mini,gpt-4o,0.875,0.8,1.0,0.888888888888889,0.75,0.9062500000000001,4,3,1,0,8,False
gpt-4.1,o3,0.375,0.3333333333333333,0.25,0.28571428571428575,0.5,0.25875000000000004,1,2,2,3,8,False
gpt-4o,o3,0.25,0.0,0.0,0.0,0.5,0.19250000000000003,0,2,2,4,8,False
o3,o3,0.5,0.0,0.0,0.0,1.0,0.21750000000000003,0,4,0,4,8,True
o3-mini,o3,0.875,1.0,0.75,0.8571428571428571,1.0,0.26125,3,4,0,1,8,False
gpt-4.1,o3-mini,0.625,1.0,0.25,0.4,1.0,0.83125,1,4,0,3,8,False
gpt-4o,o3-mini,0.5,0.0,0.0,0.0,1.0,0.2375,0,4,0,4,8,False
o3,o3-mini,0.5,0.0,0.0,0.0,1.0,0.875,0,4,0,4,8,False
o3-mini,o3-mini,0.875,1.0,0.75,0.8571428571428571,1.0,0.95625,3,4,0,1,8,True
